Field	Value	
District	D37	
Population	172232	
Deviation	-3,516	
% Deviation	-2%	
White	141555	
% White	82.19%	
Black	5856	
% Black	3.4%	
AmIndian	467	
% AmIndian	0.27%	
Asian	3256	
% Asian	1.89%	
Hawaiian	41	
% Hawaiian	0.02%	
Other	7147	
% Other	4.15%	
2+ Races	13910	
% 2+ Races	8.08%	
NH Wht	138850	
% NH_Wht	80.62%	
Hispanic Origin	14267	
% Hispanic Origin	8.28%	
