Field	Value	
District	D35	
Population	181920	
Deviation	6,172	
% Deviation	3.51%	
White	144892	
% White	79.65%	
Black	8956	
% Black	4.92%	
AmIndian	301	
% AmIndian	0.17%	
Asian	12724	
% Asian	6.99%	
Hawaiian	41	
% Hawaiian	0.02%	
Other	4218	
% Other	2.32%	
2+ Races	10788	
% 2+ Races	5.93%	
NH Wht	143034	
% NH_Wht	78.62%	
Hispanic Origin	9216	
% Hispanic Origin	5.07%	
