Field	Value	
District	D22	
Population	169718	
Deviation	-6,030	
% Deviation	-3.43%	
White	136425	
% White	80.38%	
Black	5766	
% Black	3.4%	
AmIndian	341	
% AmIndian	0.2%	
Asian	4232	
% Asian	2.49%	
Hawaiian	58	
% Hawaiian	0.03%	
Other	9501	
% Other	5.6%	
2+ Races	13395	
% 2+ Races	7.89%	
NH_Wht	133244	
% NH_ Wht	78.51%	
Hispanic Origin	18141	
% Hispanic Origin	10.69%	
